date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:19:24	60075/60075	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20May%202017%2003:28:02%20GMT	https://landing.engotheme.com/html/lotus/demo/index.html	C:/laragon/www/flight4/public/template/landing.engotheme.com/html/lotus/demo/index.html	(from https://landing.engotheme.com/html/lotus/demo/index-3.html)
08:19:24	36430/36430	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2017:41:56%20GMT	https://landing.engotheme.com/html/lotus/demo/index-2.html	C:/laragon/www/flight4/public/template/landing.engotheme.com/html/lotus/demo/index-2.html	(from https://landing.engotheme.com/html/lotus/demo/index-3.html)
08:19:24	61603/61603	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2021:48:56%20GMT	https://landing.engotheme.com/html/lotus/demo/index-4.html	C:/laragon/www/flight4/public/template/landing.engotheme.com/html/lotus/demo/index-4.html	(from https://landing.engotheme.com/html/lotus/demo/index-3.html)
08:19:24	30583/30583	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:17:32%20GMT	https://landing.engotheme.com/html/lotus/demo/about.html	C:/laragon/www/flight4/public/template/landing.engotheme.com/html/lotus/demo/about.html	(from https://landing.engotheme.com/html/lotus/demo/index-3.html)
08:19:25	26559/26559	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:45:18%20GMT	https://landing.engotheme.com/html/lotus/demo/room-1.html	C:/laragon/www/flight4/public/template/landing.engotheme.com/html/lotus/demo/room-1.html	(from https://landing.engotheme.com/html/lotus/demo/index-3.html)
08:19:25	23356/23356	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:45:14%20GMT	https://landing.engotheme.com/html/lotus/demo/room-2.html	C:/laragon/www/flight4/public/template/landing.engotheme.com/html/lotus/demo/room-2.html	(from https://landing.engotheme.com/html/lotus/demo/index-3.html)
08:19:25	25818/25818	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:45:08%20GMT	https://landing.engotheme.com/html/lotus/demo/room-3.html	C:/laragon/www/flight4/public/template/landing.engotheme.com/html/lotus/demo/room-3.html	(from https://landing.engotheme.com/html/lotus/demo/index-3.html)
08:19:25	24728/24728	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:45:30%20GMT	https://landing.engotheme.com/html/lotus/demo/room-4.html	C:/laragon/www/flight4/public/template/landing.engotheme.com/html/lotus/demo/room-4.html	(from https://landing.engotheme.com/html/lotus/demo/index-3.html)
08:19:25	31082/31082	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:45:38%20GMT	https://landing.engotheme.com/html/lotus/demo/room-5.html	C:/laragon/www/flight4/public/template/landing.engotheme.com/html/lotus/demo/room-5.html	(from https://landing.engotheme.com/html/lotus/demo/index-3.html)
08:19:26	24002/24002	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:45:50%20GMT	https://landing.engotheme.com/html/lotus/demo/room-6.html	C:/laragon/www/flight4/public/template/landing.engotheme.com/html/lotus/demo/room-6.html	(from https://landing.engotheme.com/html/lotus/demo/index-3.html)
08:19:26	62806/62806	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:46:00%20GMT	https://landing.engotheme.com/html/lotus/demo/room-detail.html	C:/laragon/www/flight4/public/template/landing.engotheme.com/html/lotus/demo/room-detail.html	(from https://landing.engotheme.com/html/lotus/demo/index-3.html)
08:19:26	49522/49522	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:46:20%20GMT	https://landing.engotheme.com/html/lotus/demo/restaurants-1.html	C:/laragon/www/flight4/public/template/landing.engotheme.com/html/lotus/demo/restaurants-1.html	(from https://landing.engotheme.com/html/lotus/demo/index-3.html)
